"","CruiseTow","studyName","CruiseName","Sampled","Event","Tow","GridLine","GridStation","Date.GMT","TimeStart.GMT","TimeStart.CLST","LatitudeStart..º.","LongitudeStart..º.","TimeEnd.GMT","LatitudeEnd..º.","LongitudeEnd..º.","TowDuration","Heading..º.","SOG","WaterDepth..m.","WindSpeed","WindDirection..º.","NetID","TowType","DepthTarget","DepthMaximum..m.","VolumeFilteredM3..m³.","ZAID","RadioNum..num.1000m³.","RadioVol..ml.1000m3.","SiphonNum..num.1000m³.","SiphonVol..ml.1000m3.","Hydrozoa_oNum..num.1000m³.","Hydrozoa_oVol..ml.1000m3.","PeriphylNum..num.1000m³.","PeriphylVol..ml.1000m3.","Scyphozo_oNum..num.1000m³.","Scyphozo_oVol..ml.1000m3.","Cnidaria_oNum..num.1000m³.","Cnidaria_oVol..ml.1000m3.","CtenophNum..num.1000m³.","CtenophVol..ml.1000m3.","ClioNum..num.1000m³.","ClioVol..ml.1000m3.","LimacinaNum..num.1000m³.","LimacinaVol..ml.1000m3.","ClioneNum..num.1000m³.","ClioneVol..ml.1000m3.","SpongiobNum..num.1000m³.","SpongiobVol..ml.1000m3.","Gastropo_oNum..num.1000m³.","Gastropo_oVol..ml.1000m3.","CephalopNum..num.1000m³.","CephalopVol..ml.1000m3.","TomopterNum..num.1000m³.","TomopterVol..ml.1000m3.","Polychae_oNum..num.1000m³.","Polychae_oVol..ml.1000m3.","PseudosaNum..num.1000m³.","PseudosaVol..ml.1000m3.","Chaetogn_oNum..num.1000m³.","Chaetogn_oVol..ml.1000m3.","Copepods_per_1000_m3","Copepods_ml_per_m3","OstracodNum..num.1000m³.","OstracodVol..ml.1000m3.","MysidaNum..num.1000m³.","MysidaVol..ml.1000m3.","GammaridNum..num.1000m³.","GammaridVol..ml.1000m3.","VibiliaNum..num.1000m³.","VibiliaVol..ml.1000m3.","CyllopusNum..num.1000m³.","CyllopusVol..ml.1000m3.","PrimnoNum..num.1000m³.","PrimnoVol..ml.1000m3.","ThemistoNum..num.1000m³.","ThemistoVol..ml.1000m3.","HyperielNum..num.1000m³.","HyperielVol..ml.1000m3.","HyperocheNum..num.1000m³.","HyperocheVol..ml.1000m3.","Amphipod_oNum..num.1000m³.","Amphipod_oVol..ml.1000m3.","EsuperbaNum..num.1000m³.","EsuperbaVol..ml.1000m3.","EcrystalNum..num.1000m³.","EcrystalVol..ml.1000m3.","EfrigidaNum..num.1000m³.","EfrigidaVol..ml.1000m3.","EtriacanNum..num.1000m³.","EtriacanVol..ml.1000m3.","ThysanoeNum..num.1000m³.","ThysanoeVol..ml.1000m3.","Euphaus_oNum..num.1000m³.","Euphaus_oVol..ml.1000m3.","DecapodaNum..num.1000m³.","DecapodaVol..ml.1000m3.","IhleaNum..num.1000m³.","IhleaVol..ml.1000m3.","SalpaAggNum..num.1000m³.","SalpaAggVol..ml.1000m3.","SalpaSolNum..num.1000m³.","SalpaSolVol..ml.1000m3.","SalpidaeNum..num.1000m³.","SalpidaeVol..ml.1000m3.","PantarctNum..num.1000m³.","PantarctVol..ml.1000m3.","TeleosteNum..num.1000m³.","TeleosteVol..ml.1000m3.","otherNum..num.1000m³.","otherVol..ml.1000m3.","R_gig","C_acu","C_pro","CTD.event","Cast","max_chl","int_chl","upper_temp","upper_max_temp","shallow lim"
"11",270031,"LMG19-01","LMG19-01",1,145,31,400,200,"1/11/2019","19:26:00","15:26:00",65.2378,69.8004,"19:58:00",65.2474,69.7741,32,104,2.6,2829,11,108,2,"Standard","0-120",121,8404.1,"Full",0.714,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0.119,0.059,35.578,0.952,3.57,0.357,0.238,0.036,0,0,0,0,0.714,0.476,0,0,0,0,0.357,0.011,10.828,0.048,0,0,0,0,0,0,0.119,0.012,0,0,0.357,0.011,0,0,0,0,0.476,0.012,0,0,1.428,1.428,0,0,0,0,0,0,0.833,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.547,0.012,0,0,NA,NA,NA,144,18,0.4911,11.6177,-0.231153846153846,1.2445,199
"12",270036,"LMG19-01","LMG19-01",1,152,36,300,200,"1/12/2019","8:20:00","4:20:00",65.8582,71.3898,"8:46:00",65.8435,71.3659,26,37,2.2,3085,3,265,2,"Standard","0-120",120.2,6224.5,"Full",0.803,0.032,0.964,0.562,0.161,0.016,0,0,0,0,0,0,-1,-1,0,0,74.383,1.767,9.318,0.803,0.643,0.064,0,0,0,0,1.446,0.964,0,0,0.161,0.048,1.928,0.112,7.229,0.048,0,0,0,0,0,0,2.41,0.048,0,0,0.803,0.032,0.482,0.014,0.161,0.112,0.643,0.016,0,0,3.695,3.599,0,0,0,0,0,0,1.285,0.129,0,0,0,0,0,0,3.534,3.695,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,151,19,0.5503,24.1004,0.514196923076923,1.7529,199
"13",270038,"LMG19-01","LMG19-01",1,168,38,300,100,"1/12/2019","21:37:00","17:37:00",66.5115,69.8838,"22:08:00",66.4932,69.8788,31,29,2.3,493,15,14,2,"Standard","0-120",120,8328.5,"Full",0.961,0.036,0,0,1.321,0.096,0,0,0,0,0,0,0,0,0,0,3.602,0.168,0.48,0.024,0,0,0.12,0.012,0,0,0,0,0,0,0.961,0.216,1.321,0.12,29.057,0.262,0,0,0,0,0,0,0,0,0.12,0.06,0,0,0,0,0,0,0.24,0.024,0,0,0.72,0.456,19.331,1.801,0,0,0,0,80.446,4.181,0.12,0.012,0,0,0,0,0,0,0,0,0,0,0,0,4.443,0.036,0,0,NA,NA,NA,167,20,1.9051,58.3185,-0.220265128205128,1.1825,199
"14",270042,"LMG19-01","LMG19-01",1,178,42,300,40,"1/13/2019","5:52:00","1:52:00",66.9007,68.9044,"6:29:00",66.8857,68.9441,37,314,2.2,609,6,200,2,"Standard","0-120",120.6,9398.5,"Full",0.426,0.011,0.319,0.01,0.851,0.043,0,0,0,0,0,0,0.106,0.011,0.426,-1,10.64,0.372,0.958,0.16,0,0,0.106,0.01,0,0,0,0,0,0,4.469,1.809,5.32,0.202,101.293,0.671,0.213,0.01,0,0,0.213,0.01,0.106,0.01,0.319,0.074,0,0,0,0,0,0,1.277,0.053,0,0,5.107,0.745,77.459,4.392,0,0,0,0,191.201,6.46,0,0,0,0,0.426,0.096,0,0,0,0,0,0,0,0,1.17,0.019,0,0,NA,NA,NA,177,21,3.7972,69.0237,-0.407814358974359,0.9792,199
"15",270044,"LMG19-01","LMG19-01",2,184,44,200,40,"1/14/2019","17:11:00","13:11:00",67.5216,70.5913,"17:46:00",67.5005,70.5765,35,2,2.8,773,5,7,2,"Standard","0-120",121.2,8936.1,"Full",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224,0.01,0,0,0,0,0,0,0,0,0,0,0,0,1.231,0.839,1.679,0.067,125.671,0.56,0,0,0,0,0,0,0.112,0.01,0,0,0.112,0.01,0,0,0,0,0.224,0.022,0,0,3.021,0.974,2.35,0.112,0,0,0,0,205.907,8.169,0,0,1.455,0.011,0,0,0,0,0,0,0,0,0,0,4.364,0.056,0,0,82.91909338,1051.351524,11.82075126,183,22,2.3555,63.3252,-0.727986666666667,0.7814,199
"16",270047,"LMG19-01","LMG19-01",1,192,47,200,100,"1/15/2019","3:07:00","23:07:00",67.124,71.5119,"3:33:00",67.1167,71.5421,26,301,1.6,442,6,155,2,"Standard","0-120",120.8,5862.9,"Full",0.341,0.015,31.895,1.023,2.217,0.171,0,0,0,0,0,0,0,0,0.682,0.136,5.799,0.205,0.853,0.034,0,0,0,0,0,0,0.171,0.015,0.171,0.015,6.14,2.388,0.512,0.015,77.094,0.478,3.582,0.017,0,0,0,0,0.512,0.017,0.171,0.017,0.171,0.017,0,0,0,0,1.876,0.307,0,0,27.461,6.823,16.203,0.853,0,0,0,0,139.179,4.776,0,0,0.341,0.015,0,0,0,0,0,0,0,0,0,0,0.171,0.015,0,0,NA,NA,NA,189,23,4.1042,126.2795,0.06506,1.1216,199
"17",270049,"LMG19-01","LMG19-01",1,199,49,200,180,"1/15/2019","12:35:00","8:35:00",66.5682,72.7421,"13:05:00",66.5856,72.7403,30,192,2.2,3516,13,204,2,"Standard","0-120",120.4,7169.6,"Full",6.834,0.181,11.716,0.837,35.427,2.982,0,0,0,0,0,0,0,0,0,0,45.888,1.413,9.903,0.767,1.534,0.139,0,0,0,0,0.279,0.013,0,0,1.116,0.209,75.039,0.628,12.832,0.098,0.139,0.013,0,0,0,0,0.418,0.014,0,0,0.697,0.014,0.139,0.013,0,0,1.255,0.014,0,0,15.9,14.087,0,0,0,0,0,0,2.929,0.279,1.116,0.013,0,0,0,0,4.603,1.395,0,0,0,0,0,0,0.139,0.013,0,0,NA,NA,NA,198,24,0.9096,47.6478,0.509140512820513,1.7549,199
"18",270057,"LMG19-01","LMG19-01",1,213,57,200,-40,"1/17/2019","7:57:00","3:57:00",68.0379,69.3063,"8:36:00",68.0225,69.2538,39,51,2.2,714,19,64,2,"Standard","0-120",120.3,10694.5,"Full",0,0,2.899,0.008,0.094,0.019,0,0,0,0,0,0,0,0,0,0,0.748,0.008,0.094,0.008,0.094,0.009,0,0,0,0,0,0,0,0,0,0,11.501,0.168,480.061,2.412,0,0,0,0,0.187,0.009,0.468,0.009,0.187,0.037,0,0,0,0,0,0,8.135,0.262,0,0,541.401,198.617,347.563,56.786,0,0,0,0,8.322,0.468,0,0,4.675,0.065,0,0,0,0,0,0,0,0,8.416,0.075,6.265,0.054,0,0,23.82597365,532.4916015,1.134570174,212,26,7.7127,200.6168,-0.210217435897436,0.9016,199
"19",270061,"LMG19-01","LMG19-01",2,219,61,200,0,"1/17/2019","18:55:00","14:55:00",67.7806,69.9576,"19:22:00",67.7665,69.9411,27,21,3.1,750,29,23,2,"Standard","0-120",120.2,6115.9,"Full",0.164,0.015,0,0,0,0,0,0,0.164,0.033,0,0,0,0,0,0,0,0,0.164,0.015,0.164,0.016,0.491,0.015,0,0,0,0,0,0,1.799,1.553,6.05,0.164,620.021,4.742,0,0,0,0,0,0,0.164,0.015,0.164,0.033,0,0,0,0,0,0,0.981,0.098,0,0,3.107,0.458,14.716,0.818,0,0,0,0,21.583,0.981,0,0,2.616,0.016,0,0,0,0,0,0,0,0,0,0,25.834,0.245,0,0,163.5644489,294.7754903,8.987057632,218,27,6.0485,176.6634,-0.742987288135593,0.0766,122
"20",270067,"LMG19-01","LMG19-01",1,239,67,100,100,"1/21/2019","12:10:00","8:10:00",67.7097,73.2583,"12:39:00",67.7002,73.2947,29,305,2,474,8,100,2,"Standard","0-120",120.7,6803.5,"Full",2.352,0.029,0,0,0.294,0.029,0,0,0,0,0,0,0,0,0,0,17.932,0.676,2.499,0.176,0.735,0.059,0.147,0.013,0,0,0.147,0.073,0,0,4.116,0.764,3.675,0.073,687.298,4.116,0,0,0,0,0.294,0.22,0.294,0.029,0,0,0,0,0.147,0.015,0,0,0.147,0.013,0,0,24.987,3.675,18.373,0.588,0,0,0,0,191.814,7.79,0,0,0.294,0.013,0,0,0,0,0,0,0,0,0,0,3.087,0.029,0.147,0.015,NA,NA,NA,237,33,3.8342,102.8035,-0.637526666666667,1.0059,199
"21",270069,"LMG19-01","LMG19-01",2,251,69,100,180,"1/21/2019","21:06:00","17:06:00",67.1717,74.4728,"21:30:00",67.1603,74.4731,24,11,2.3,3026,2,65,2,"Standard","0-120",120.8,4799.1,"Full",2.5,-1,0,0,0,0,0,0,0,0,0,0,0.208,0.208,0.417,0.083,42.3,1.667,6.876,0.063,0,0,0,0,0,0,0,0,0,0,0,0,18.337,1.042,190.037,1.042,0,0,0,0,0,0,0,0,0,0,0.417,0.019,0,0,0,0,0.833,0.019,0,0,1.875,2.5,0,0,0,0,0,0,4.793,0.125,0,0,0.625,0.019,0,0,0,0,0,0,0,0,0,0,2.917,0.063,0.208,0.019,202.7661403,962.060623,28.04212578,250,34,3.8077,102.3318,-0.0219748717948718,1.322,199
"22",270073,"LMG19-01","LMG19-01",1,259,73,0,160,"1/22/2019","9:37:00","5:37:00",67.8647,76.0139,"10:08:00",67.8496,76.0005,31,20,2.7,2838,5,26,2,"Standard","0-120",120.7,7223,"Full",5.676,0.042,1.8,-1,0.554,0.111,0,0,0,0,0,0,0,0,0.692,0.055,9.968,0.277,2.63,0.263,0.415,0.042,0,0,0.277,0.028,0,0,0.277,0.012,3.738,0.665,5.676,0.138,90.267,0.983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969,0.028,0,0,17.306,17.583,0,0,0,0,0,0,38.211,0.623,0,0,0.138,0.012,0,0,0,0,0,0,0,0,0,0,5.676,0.053,0,0,NA,NA,NA,257,35,3.3762,110.9832,-0.371321538461538,1.286,199
"23",270075,"LMG19-01","LMG19-01",2,270,75,0,100,"1/22/2019","17:00:00","13:00:00",68.2689,75.1604,"17:33:00",68.2491,75.1538,33,4,2.9,438,8,80,2,"Standard","0-120",119.8,8168,"Full",0.979,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.366,0.245,2.204,0.147,0,0,0.122,0.011,0,0,0,0,0,0,2.326,1.592,4.407,0.735,596.471,2.571,0,0,0,0,0.979,0.367,0,0,0.122,0.012,0,0,0,0,0,0,1.102,0.024,0,0,10.774,3.918,11.019,1.224,0,0,0,0,30.24,0.735,0,0,0.245,0.011,0,0,0,0,0,0,0,0,0,0,7.713,0.012,0,0,44.53557116,1201.42471,22.78564106,269,36,1.0895,25.6108,-1.33807128205128,0.046,199
"24",270080,"LMG19-01","LMG19-01",2,285,80,-100,100,"1/23/2019","16:23:00","12:23:00",68.8195,77.0836,"16:45:00",68.8277,77.0659,22,133,2,637,6,172,2,"Standard","0-120",120,4284.8,"Full",5.601,0.117,18.204,0.7,0,0,0,0,0,0,0,0,0,0,0,0,13.07,0.934,1.167,0.093,0.233,0.023,0.233,0.047,0.467,0.467,0,0,0,0,1.867,1.634,4.668,0.35,508.314,2.1,0.233,0.021,0,0,0.467,0.023,0,0,0,0,0,0,0,0,0,0,0.467,0.021,0,0,10.502,0.934,0,0,0,0,0,0,15.637,0.934,0,0,0.233,0.021,0,0,0,0,0,0,0,0,2.801,2.334,2.567,0.023,0,0,132.995003,4516.249891,30.22613704,283,38,1.656,17.6383,-1.43681288659794,0.1523,199
"25",270083,"LMG19-01","LMG19-01",1,291,83,-100,119,"1/24/2019","11:32:00","7:32:00",68.6977,77.3185,"12:03:00",68.6799,77.3363,31,340,2.4,3201,12,168,2,"Standard","0-120",120.8,7415.2,"Full",6.878,0.04,3.641,0.04,0.674,0.04,0,0,0,0,0,0,0.27,0.337,0,0,8.766,0.202,2.562,0.189,0,0,0.27,0.024,0,0,1.079,0.013,0,0,7.552,0.944,4.45,0.027,48.954,0.189,0.135,0.012,0,0,1.079,0.202,0.135,0.013,0,0,0.135,0.012,0.405,0.027,0,0,0,0,0,0,6.608,3.371,0,0,0,0,0,0,10.114,0.162,0,0,0.674,0.012,0,0,0,0,0,0,0,0,0,0,0.135,0.012,0.135,0.012,NA,NA,NA,288,39,0.8136,34.4912,-0.241302051282051,1.5989,199
"26",270088,"LMG19-01","LMG19-01",1,301,88,-100,120,"1/24/2019","17:56:00","13:56:00",68.6833,77.3646,"18:26:00",68.6985,77.3664,30,158,2.2,3285,13,154,2,"Standard","0-120",120.9,6557.6,"Full",6.557,0.03,1.372,0.381,9.15,0.549,0,0,0,0,0,0,0,0,0,0,6.71,0.168,1.067,0.046,0,0,0,0,0,0,0.457,0.015,0,0,0.762,0.396,17.842,1.083,43.461,0.274,0,0,0,0,0.61,0.152,0,0,0,0,0.305,0.015,0,0,0,0,0,0,0,0,11.437,4.819,0,0,0,0,0,0,6.405,0.335,0,0,0.915,0.014,0,0,0,0,0,0,0,0,0,0,0.152,0.014,0,0,NA,NA,NA,298,40,0.3933,12.0903,-0.261032307692308,1.6336,199
"27",270091,"LMG19-01","LMG19-01",1,311,91,-100,160,"1/25/2019","3:14:00","23:14:00",68.3813,77.9214,"3:48:00",68.4022,77.9254,34,190,1.9,3352,13,184,2,"Standard","0-120",120.4,9190,"Full",2.612,0.022,0.435,0.011,4.57,0.218,0,0,0,0,0,0,0,0,1.85,0.207,0.109,0.01,0.326,0.044,0,0,0,0,0,0,0,0,0,0,2.72,0.522,9.249,0.174,99.783,0.761,0,0,0,0,0.218,0.218,0.109,0.011,0.218,0.054,0.109,0.01,12.949,0.871,0,0,0.762,0.011,0,0,16.322,14.146,0,0,0,0,0.871,0.381,215.561,8.032,0,0,0.326,0.022,0.653,0.218,0,0,0,0,0,0,0,0,0,0,0,0,627.9010822,1567.526106,6.679798746,310,41,1.8946,64.7958,0.154424615384615,1.6169,199
