OG,lnL_Null2,lnL_Null05,lnL_ML2,lnL_ML05,lnL_Fix,W_Null2,W_Null05,W0_ML2,W1_ML2,W0_ML05,W1_ML05
N1.HOG0000380,-18314.713811,-18314.713811,-18303.17002,-18303.17002,-18512.970881,0.2961,0.2961,0.3263,0.22028,0.3263,0.22028
N1.HOG0000382,-20458.746299,-20458.746287,-20455.805494,-20455.805495,-20737.156296,0.23766,0.23767,0.24913,0.20807,0.24913,0.20807
N1.HOG0000383,-21009.01522,-21009.01522,-21006.966678,-21006.966678,-21248.564178,0.22936,0.22936,0.23741,0.20238,0.2374,0.20238
N1.HOG0000384,-24118.318746,-24118.318746,-24116.68229,-24116.68229,-24408.040173,0.26442,0.26442,0.27451,0.24328,0.27451,0.24328
N1.HOG0000385,-30746.129792,-30746.129792,-30745.091541,-30745.091541,-31280.050484,0.27147,0.27147,0.28161,0.26033,0.28161,0.26032
N1.HOG0000386,-16702.96666,-16702.96666,-16702.571414,-16702.571414,-16824.328122,0.22899,0.22899,0.22533,0.2447,0.22533,0.2447
N1.HOG0000387,-22396.02341,-22396.02341,-22349.125504,-22349.125503,-22876.968819,0.16445,0.16445,0.18968,0.08102,0.18968,0.08103
N1.HOG0000389,-19148.148043,-19148.148043,-19147.774,-19147.774,-19419.26272,0.21155,0.21155,0.2156,0.20148,0.2156,0.20148
N1.HOG0000390,-36874.162155,-33502.049296,-33483.007313,-33896.561058,-33993.661913,2.04544,0.22106,0.24427,0.23531,0.17468,0.3966
N1.HOG0000391,-17325.308775,-17325.308775,-17305.731855,-17305.731855,-17589.635057,0.18876,0.18876,0.20776,0.11111,0.20776,0.11111
N1.HOG0000395,-26003.260465,-26003.260465,-26001.234728,-26001.234728,-26119.038829,0.282,0.282,0.28826,0.23828,0.28827,0.23828
N1.HOG0000396,-26794.328019,-26794.328019,-26782.532918,-26782.53292,-27386.584822,0.15424,0.15424,0.16611,0.1176,0.16611,0.11761
N1.HOG0000398,-13023.604893,-13023.604893,-13013.059789,-13013.059789,-13190.193893,0.256,0.256,0.28916,0.18063,0.28916,0.18063
N1.HOG0000399,-32725.587101,-32725.5871,-32718.943209,-32718.943209,-33252.02392,0.25294,0.25293,0.26889,0.2209,0.26889,0.2209
N1.HOG0000400,-31332.05193,-31332.05193,-31331.891001,-31331.891001,-31650.86588,0.30733,0.30733,0.31063,0.3009,0.31063,0.3009
N1.HOG0000402,-31832.963589,-31832.963589,-31825.333583,-31825.333585,-32270.512217,0.27665,0.27666,0.29603,0.23794,0.29605,0.2381
N1.HOG0000403,-14939.62347,-14939.62347,-14939.6215,-14939.6215,-14949.41236,0.24679,0.24679,0.2467,0.25093,0.2467,0.25093
N1.HOG0000404,-11420.244754,-11420.244754,-11400.039353,-11400.039353,-11691.428418,0.20115,0.20114,0.23894,0.1258,0.23894,0.1258
N1.HOG0000405,-31105.119613,-31105.119613,-31102.657635,-31102.657635,-31629.632081,0.19981,0.19981,0.20659,0.18122,0.20659,0.18122
N1.HOG0000406,-37990.726487,-37990.726487,-37980.956073,-37980.956073,-38469.73527,0.25061,0.25061,0.26674,0.20842,0.26674,0.20842
N1.HOG0000409,-26154.74651,-26154.74651,-26151.676389,-26151.676389,-26376.901905,0.29645,0.29645,0.30794,0.25996,0.30794,0.25996
N1.HOG0000414,-14621.334876,-14621.336376,-14620.862424,-14620.863812,-15411.818526,0.05065,0.05063,0.0539,0.04719,0.05372,0.04719
N1.HOG0000420,-20901.949803,-20901.949801,-20900.981127,-20900.981117,-21434.689064,0.1071,0.10709,0.11084,0.09769,0.11082,0.09771
N1.HOG0000435,-12491.348155,-12491.348155,-12491.335868,-12491.335868,-12713.780883,0.21426,0.21426,0.21275,0.21604,0.21275,0.21603
N1.HOG0000436,-36919.986946,-36919.986946,-36918.369892,-36918.369882,-37367.235683,0.24082,0.24082,0.2478,0.22382,0.24777,0.22384
N1.HOG0000464,-17139.348513,-17032.376027,-17274.774097,-17051.157885,-17550.937988,0.08935,0.07914,0.06118,0.0901,0.06316,0.06984
N1.HOG0000501,-42819.695404,-44800.321513,-48550.293292,-42570.342971,-44141.336534,0.03024,0.50003,1.97119,0.40906,0.0532,0.01454
N1.HOG0000513,-16081.852709,-16081.852709,-16068.614584,-16068.614584,-16447.442799,0.18783,0.18783,0.21449,0.13801,0.21449,0.13801
N1.HOG0000514,-6212.074525,-6212.074525,-6203.879932,-6203.879932,-6311.252628,0.27085,0.27085,0.33045,0.18549,0.33045,0.18549
N1.HOG0000515,-14496.050377,-14496.050378,-14496.031993,-14496.031993,-14790.547552,0.15245,0.15245,0.15336,0.15053,0.15336,0.15053
N1.HOG0000516,-13532.086793,-13532.086793,-13531.633496,-13531.633496,-14002.701643,0.15265,0.15265,0.15827,0.14616,0.15828,0.14616
N1.HOG0000520,-16874.453825,-16874.453825,-16874.100439,-16874.100439,-17006.463095,0.3557,0.3557,0.34607,0.36963,0.34607,0.36963
N1.HOG0000530,-19008.33306,-19008.33306,-19006.405036,-19006.405036,-19287.38051,0.15712,0.15712,0.16173,0.13534,0.16173,0.13534
N1.HOG0000532,-18090.534093,-18090.534093,-18077.661695,-18077.661696,-18371.786376,0.19835,0.19835,0.21783,0.13669,0.21783,0.13669
N1.HOG0000534,-19452.940046,-19452.940046,-19448.531224,-19448.531224,-19633.084478,0.22678,0.22677,0.23687,0.17966,0.23687,0.17966
N1.HOG0000535,-13704.374572,-13704.374573,-13695.370335,-13695.36992,-14139.229378,0.05883,0.05882,0.0653,0.03355,0.06526,0.03354
N1.HOG0000539,-13651.985561,-13651.985561,-13651.165391,-13651.165391,-13999.054695,0.14203,0.14203,0.14644,0.13009,0.14644,0.13009
N1.HOG0000548,-31765.778653,-31765.778653,-31765.62534,-31765.62534,-31882.515288,0.35969,0.35969,0.35698,0.37082,0.35698,0.37082
N1.HOG0000552,-11459.724643,-11459.724643,-11452.466911,-11452.466911,-11859.701666,0.13698,0.13698,0.15451,0.10593,0.15451,0.10593
N1.HOG0000553,-11458.218577,-10140.772152,-9455.644429,-9381.678562,-9797.337664,2,0.45493,0.08074,0.04254,0.09566,0.05833
N1.HOG0000554,-11506.132162,-11497.501738,-13359.549663,-12384.671196,-11724.996492,0.0892,0.05512,1.77277,1.79495,0.51907,0.50623
N1.HOG0000558,-15338.197843,-15338.197843,-15329.912806,-15329.912803,-15513.899525,0.15621,0.15622,0.16514,0.09762,0.16515,0.09763
N1.HOG0000560,-17734.818709,-17734.818709,-17729.384467,-17729.384468,-18238.112724,0.12183,0.12183,0.10962,0.14327,0.10962,0.14327
N1.HOG0000562,-22081.324957,-22078.447527,-22056.018116,-22085.977636,-22777.444885,0.09901,0.10365,0.11515,0.05486,0.11161,0.05493
N1.HOG0000567,-30880.851187,-30880.851187,-30849.814616,-30849.814616,-31184.200705,0.32891,0.32892,0.36562,0.21757,0.36561,0.21757
N1.HOG0000568,-64099.147137,-64099.147138,-64091.935568,-64091.935566,-64812.263835,0.37183,0.37182,0.39504,0.3435,0.39502,0.34348
N1.HOG0000582,-112180.035878,-112180.035878,-112147.922045,-112147.922045,-113227.693324,0.36002,0.36002,0.38864,0.30525,0.38864,0.30525
N1.HOG0000588,-12122.865378,-12122.865378,-12122.864102,-12122.864102,-12224.723182,0.25929,0.25929,0.25976,0.25832,0.25975,0.2583
N1.HOG0000589,-20685.300574,-20685.300574,-20662.297381,-20662.297381,-21051.481971,0.25428,0.25428,0.29902,0.18358,0.29903,0.18358
N1.HOG0000594,-12463.686509,-12463.686509,-12459.987639,-12459.987639,-12523.105538,0.19408,0.19408,0.20039,0.11837,0.20039,0.11837
N1.HOG0000597,-8564.318574,-8564.318574,-8563.995711,-8563.995711,-8656.258917,0.24298,0.24298,0.24844,0.22569,0.24843,0.22569
N1.HOG0000598,-9727.524298,-10149.989238,-9723.495219,-9723.314968,-9960.803633,0.12776,0.5,0.14322,0.09816,0.14294,0.09791
N1.HOG0000601,-9100.713099,-9100.713099,-9098.706725,-9098.706725,-9198.157014,0.193,0.193,0.20101,0.15169,0.20101,0.15168
N1.HOG0000602,-13002.048767,-13002.048767,-13001.278633,-13001.278633,-13217.600148,0.23246,0.23246,0.24096,0.21618,0.24096,0.21618
N1.HOG0000603,-8697.690419,-8697.69041,-8684.745967,-8684.745717,-8845.127379,0.16591,0.16589,0.18453,0.08324,0.18447,0.0831
N1.HOG0000606,-9490.666233,-9490.666291,-9485.444143,-9485.444153,-9710.594761,0.16757,0.16753,0.18415,0.12894,0.18416,0.12895
N1.HOG0000607,-9737.775253,-9737.775253,-9736.770145,-9736.770145,-9846.266463,0.19002,0.19002,0.19609,0.16411,0.19609,0.16411
N1.HOG0000609,-8865.3827,-8865.3827,-8865.382427,-8865.382427,-8961.115812,0.20558,0.20558,0.20546,0.20605,0.20546,0.20605
N1.HOG0000611,-11975.045414,-11945.100927,-11943.723997,-11943.723997,-12110.596752,0.17126,0.1687,0.17689,0.14931,0.17689,0.1493
N1.HOG0000612,-14239.935626,-14239.935626,-14225.061293,-14225.061293,-14397.741192,0.25156,0.25155,0.27951,0.15257,0.27951,0.15257
N1.HOG0000613,-8220.795813,-8220.795813,-8219.145291,-8219.145291,-8390.877786,0.13993,0.13993,0.1471,0.11551,0.1471,0.11551
N1.HOG0000617,-25889.251726,-25889.251725,-25884.878287,-25884.878287,-26199.848545,0.24122,0.24121,0.22633,0.27249,0.22633,0.27249
N1.HOG0000618,-12856.374206,-12856.374203,-12855.672737,-12855.672731,-13063.562786,0.15263,0.15264,0.15638,0.13791,0.15639,0.13791
N1.HOG0000619,-10456.922385,-10456.922385,-10454.97212,-10454.97212,-10513.148319,0.28289,0.28289,0.29269,0.22024,0.29269,0.22024
N1.HOG0000620,-8655.636387,-8655.636387,-8646.867278,-8646.867278,-8865.584976,0.13612,0.13612,0.15259,0.08464,0.15259,0.08463
N1.HOG0000621,-14565.450965,-14565.450965,-14565.018502,-14565.018502,-14627.312075,0.32808,0.32808,0.32159,0.35275,0.32159,0.35275
N1.HOG0000625,-15396.916944,-15396.916944,-15382.08579,-15382.08579,-15647.89325,0.2054,0.2054,0.22799,0.1314,0.22799,0.1314
N1.HOG0000626,-8710.018389,-8710.018389,-8707.959962,-8707.959963,-8863.814053,0.17981,0.17981,0.19103,0.14764,0.19104,0.14763
N1.HOG0000627,-7328.526768,-7328.526768,-7327.682703,-7327.682703,-7418.286116,0.19112,0.19112,0.19743,0.16364,0.19742,0.16363
N1.HOG0000628,-12141.308672,-12434.205577,-13491.355338,-12353.93489,-12349.225406,0.14067,0.5,1.80026,1.92943,0.14603,0.94991
N1.HOG0000630,-21885.264795,-21885.264795,-21853.314168,-21853.314168,-22202.99576,0.26502,0.26502,0.30201,0.16374,0.30201,0.16373
N1.HOG0000632,-11298.857008,-11298.857008,-11294.474297,-11294.474297,-11411.077097,0.24102,0.24102,0.25736,0.18029,0.25736,0.18029
N1.HOG0000635,-25266.152415,-25266.152415,-25257.22345,-25257.22345,-26336.002689,0.13115,0.13115,0.14623,0.11201,0.14623,0.11201
N1.HOG0000638,-38546.079989,-33396.529476,-35281.648194,-35262.002955,-35122.093282,2,0.11716,2.44827,0.08651,0.54916,0.41819
N1.HOG0000641,-14120.167677,-11714.276081,-12239.1916,-11729.71016,-11879.317658,2.00004,0.09781,0.11657,0.12666,0.084,0.10223
N1.HOG0000643,-43735.166523,-43735.141899,-43701.09031,-43689.439769,-45223.672179,0.14829,0.14889,0.17512,0.10848,0.17159,0.10443
N1.HOG0000647,-21184.250887,-21141.684984,-21044.505176,-23260.98292,-21787.658239,0.06182,0.05255,0.06422,0.03373,0.47113,0.45196
N1.HOG0000649,-14513.086618,-14058.995837,-14371.411482,-14289.812646,-14392.533924,0.09248,0.12028,0.10675,0.13785,0.07768,0.22429
N1.HOG0000654,-19782.57904,-19782.57904,-19767.358013,-19767.358013,-20418.113067,0.11712,0.11712,0.13139,0.0832,0.13139,0.0832
N1.HOG0000656,-10287.785959,-10287.785959,-10283.302929,-10283.302928,-10506.35062,0.14765,0.14765,0.1597,0.1104,0.15971,0.1104
N1.HOG0000661,-7900.463072,-6879.093546,-6894.175415,-6832.595874,-7222.768152,1.81554,0.09399,0.15711,0.01765,0.13852,0.02877
N1.HOG0000666,-12254.871323,-12217.024901,-12755.616702,-12423.745341,-12489.054881,0.106,0.10008,0.09915,2.92151,0.10293,0.01424
N1.HOG0000670,-19220.867766,-19220.867793,-19210.501959,-19210.501978,-20305.310319,0.09663,0.09661,0.11296,0.07764,0.11298,0.07763
N1.HOG0000675,-7697.886382,-7697.886406,-7696.43585,-7696.435867,-8001.177258,0.14192,0.14189,0.15995,0.12763,0.1599,0.12758
N1.HOG0000676,-26741.779605,-26741.785374,-26736.248844,-26723.951343,-27380.566047,0.16509,0.16509,0.18641,0.11608,0.18211,0.11927
N1.HOG0000717,-15074.450497,-15074.450497,-15058.29549,-15058.29549,-15277.456229,0.30633,0.30633,0.36567,0.22585,0.36567,0.22585
N1.HOG0000760,-9750.351828,-9750.351828,-9750.063269,-9750.063269,-9878.797858,0.26357,0.26357,0.25465,0.27516,0.25465,0.27516
N1.HOG0000764,-8630.015898,-8630.015902,-8627.395527,-8627.395481,-8815.629358,0.24726,0.24727,0.27659,0.21637,0.27666,0.21638
N1.HOG0000773,-7666.950694,-7666.950694,-7666.826923,-7666.826923,-7737.786193,0.30678,0.30678,0.3126,0.29436,0.3126,0.29436
N1.HOG0000774,-16115.942461,-16115.942461,-16113.129895,-16113.129895,-16454.687864,0.25248,0.25248,0.27506,0.22984,0.27507,0.22984
N1.HOG0000775,-11082.501135,-11082.501136,-11081.408868,-11081.408909,-11232.882519,0.29517,0.29517,0.31031,0.27095,0.31031,0.27103
N1.HOG0000787,-10240.504043,-10240.504029,-10240.430993,-10240.430994,-10341.843787,0.32578,0.32567,0.33067,0.31815,0.33067,0.31813
N1.HOG0000789,-6111.755299,-6111.755299,-6111.635791,-6111.635791,-6205.184304,0.27272,0.27272,0.2796,0.26321,0.2796,0.26321
N1.HOG0000799,-7350.557411,-7350.557411,-7350.421978,-7350.421978,-7370.477506,0.29533,0.29533,0.29257,0.32196,0.29258,0.32197
N1.HOG0000800,-8460.286619,-8460.286619,-8454.809781,-8454.809781,-8549.559205,0.36577,0.36577,0.41661,0.28994,0.41662,0.28994
N1.HOG0000809,-20776.069064,-20617.611582,-20626.096901,-20799.05784,-21777.613991,0.06301,0.05442,0.06277,0.05459,0.05559,0.02651
N1.HOG0000812,-20723.741815,-20723.744119,-20695.423744,-20695.430255,-21419.313534,0.10046,0.10015,0.11544,0.05548,0.11533,0.05553
N1.HOG0000839,-17065.827554,-14692.777931,-16005.069838,-15762.852307,-15774.669614,2.05128,0.02668,0.06347,2.20591,0.03658,0.45591
N1.HOG0000846,-8658.220374,-8624.594363,-10356.068345,-8628.860592,-9003.585711,0.03642,0.02741,1.61149,2.28093,0.02797,0.03147
N1.HOG0000850,-53397.567632,-58181.603887,-57887.391589,-59145.144679,-57590.311671,0.04928,0.5,0.03975,3.28552,0.5056,0.41755
N1.HOG0000852,-14684.89487,-14573.418589,-16754.017375,-15313.980903,-16027.789677,0.05152,0.03636,0.06187,5.11018,0.54336,0.08549
N1.HOG0000869,-30530.915987,-30530.915987,-30514.869177,-30514.869177,-31053.196249,0.30496,0.30495,0.36025,0.25959,0.36025,0.25959
N1.HOG0000881,-36155.947459,-36155.947459,-36154.301524,-36154.301524,-36323.499509,0.52545,0.52545,0.55451,0.50171,0.55451,0.50171
N1.HOG0000901,-11158.916015,-11158.916015,-11154.168797,-11154.168797,-11415.834215,0.15237,0.15237,0.16675,0.11709,0.16675,0.11709
N1.HOG0000912,-11748.134674,-11748.134633,-11739.380002,-11739.380035,-11911.863284,0.26932,0.26933,0.30005,0.19763,0.30002,0.19782
N1.HOG0000914,-22771.179232,-22673.597899,-22701.098352,-22657.556322,-23062.484293,0.37528,0.30271,0.31819,0.15124,0.32993,0.19104
N1.HOG0000917,-27323.763077,-27323.763077,-27305.199613,-27305.199613,-27863.123301,0.27965,0.27965,0.31799,0.22526,0.31799,0.22526
N1.HOG0000937,-28400.198575,-28400.198575,-28371.552366,-28371.552366,-28573.290149,0.26724,0.26724,0.28408,0.12586,0.28408,0.12586
N1.HOG0000944,-44358.097238,-44358.097239,-44355.136091,-44355.136091,-44849.274099,0.24024,0.24023,0.24685,0.21689,0.24685,0.21689
N1.HOG0000946,-29145.89254,-29145.89254,-29134.083175,-29134.083175,-29555.171318,0.172,0.172,0.18251,0.12409,0.18251,0.12409
N1.HOG0000954,-45090.896187,-45090.896187,-45072.013345,-45072.013345,-45778.738133,0.2728,0.2728,0.29995,0.22436,0.29995,0.22436
N1.HOG0000961,-16765.234262,-16765.234262,-16764.966933,-16764.966933,-16864.626997,0.34122,0.34122,0.3468,0.32538,0.3468,0.32539
N1.HOG0000979,-20614.355119,-20614.355119,-20601.787477,-20601.787477,-21056.526356,0.19778,0.19778,0.21816,0.15047,0.21816,0.15048
N1.HOG0000980,-23089.62181,-23089.623875,-23068.075789,-23068.076812,-23453.850486,0.22691,0.22707,0.25318,0.15243,0.25355,0.15251
N1.HOG0000981,-45720.178415,-45720.178409,-45662.399653,-45662.399625,-46867.485276,0.22322,0.22323,0.27019,0.16231,0.27018,0.16229
N1.HOG0000983,-14123.879466,-14123.879466,-14120.391273,-14120.391273,-14484.039659,0.22464,0.22464,0.25426,0.20174,0.25426,0.20174
N1.HOG0000988,-27179.741889,-27179.741889,-27178.185352,-27178.185352,-27318.802437,0.28682,0.28682,0.29242,0.25284,0.29242,0.25284
N1.HOG0000989,-30623.103108,-30623.103108,-30615.243973,-30615.243973,-30891.868442,0.28456,0.28456,0.30229,0.23004,0.30229,0.23004
N1.HOG0001073,-16056.861676,-16056.861676,-16054.573056,-16054.573056,-16344.891075,0.23294,0.23294,0.24917,0.20923,0.24917,0.20923
N1.HOG0001082,-44151.0972,-44151.0972,-44118.992685,-44118.992685,-44399.597383,0.24393,0.24393,0.25544,0.12434,0.25544,0.12434
N1.HOG0001139,-25734.198046,-21222.466166,-23551.062695,-22844.856466,-22850.944108,2,0.02505,1.63291,0.0257,0.54004,0.43308
N1.HOG0001153,-13140.792895,-13357.960329,-14996.635504,-13016.676734,-13709.168804,0.10129,0.08344,3.10821,1e-04,0.03689,1e-04
N1.HOG0001163,-18042.385809,-18022.236681,-19673.663844,-20160.717009,-20721.182813,0.05937,0.0399,1.34815,0.03427,0.49936,0.56217
N1.HOG0001204,-30794.772926,-30794.772926,-30762.667032,-30762.667032,-31564.339454,0.26533,0.26533,0.3252,0.21125,0.3252,0.21126
N1.HOG0001241,-54970.449327,-54970.449327,-54951.895806,-54951.895806,-55792.919295,0.26744,0.26744,0.29348,0.2238,0.29348,0.2238
N1.HOG0001252,-18117.604063,-18117.604063,-18111.509127,-18111.509127,-18296.720773,0.33741,0.33742,0.37217,0.28169,0.37217,0.28169
N1.HOG0001269,-129102.269564,-129102.269564,-129095.205391,-129095.205391,-130501.515352,0.40145,0.40144,0.4272,0.38446,0.4272,0.38446
N1.HOG0001457,-35188.666026,-35188.665645,-35177.525282,-35177.525432,-35526.398987,0.36047,0.36059,0.39294,0.30498,0.39287,0.3048
N1.HOG0001458,-63193.689976,-63193.689976,-63152.565782,-63152.565782,-64025.6927,0.31366,0.31366,0.35412,0.24494,0.35412,0.24494
N1.HOG0001466,-19508.143617,-19508.143617,-19506.795472,-19506.795472,-19991.067535,0.16704,0.16704,0.17411,0.15486,0.17411,0.15486
N1.HOG0001482,-30806.984103,-30806.984102,-30784.629344,-30784.629344,-31551.073205,0.20307,0.20307,0.23054,0.15632,0.23054,0.15632
N1.HOG0001484,-57627.871579,-57627.871603,-57568.764088,-57568.764386,-59234.951164,0.20073,0.2007,0.23884,0.15018,0.23879,0.15015
N1.HOG0001485,-74084.597607,-74084.597608,-74027.667207,-74027.667218,-75328.795916,0.1879,0.1879,0.20419,0.12579,0.20419,0.12578
N1.HOG0001487,-41996.265052,-41996.265052,-41956.122566,-41956.122566,-42533.542194,0.20739,0.20739,0.22652,0.12298,0.22653,0.12298
N1.HOG0001488,-17189.47344,-17189.47344,-17182.215664,-17182.215666,-17682.974357,0.16377,0.16377,0.19049,0.13516,0.1905,0.13515
N1.HOG0001489,-45332.310304,-45332.310304,-45320.883539,-45320.883539,-45995.614225,0.2192,0.2192,0.23175,0.18056,0.23175,0.18056
N1.HOG0001490,-44644.741392,-44644.741392,-44597.508169,-44597.508163,-45485.802429,0.21156,0.21156,0.23951,0.14171,0.23951,0.14173
N1.HOG0001494,-36903.946706,-36903.946706,-36877.446533,-36877.446533,-37721.705169,0.23459,0.23459,0.27108,0.18485,0.27108,0.18485
N1.HOG0001495,-43165.245296,-43165.245296,-43118.717105,-43118.717105,-44289.562286,0.2255,0.2255,0.27802,0.17198,0.27801,0.17198
N1.HOG0001496,-60182.467639,-60182.467639,-60106.999073,-60106.999072,-61819.656799,0.20945,0.20945,0.25856,0.15295,0.25856,0.15296
