OG,Background,Foreground,WE,TAG
N1.HOG0000944,0.24685,0.24685,0.24685,0.24685
N1.HOG0000961,0.3468,0.3468,0.3468,0.3468
N1.HOG0000983,0.25426,0.25426,0.25426,0.25426
N1.HOG0000988,0.29242,0.29242,0.29242,0.29242
N1.HOG0001073,0.24917,0.24917,0.24917,0.24917
N1.HOG0001466,0.17411,0.17411,0.17411,0.17411
N1.HOG0001506,0.13947,0.13947,0.13947,0.13947
N1.HOG0001509,0.16508,0.16508,0.16508,0.16508
N1.HOG0001512,0.42191,0.42191,0.42191,0.42191
N1.HOG0001514,0.13059,0.13059,0.13059,0.13059
N1.HOG0001526,0.1323,0.1323,0.1323,0.1323
N1.HOG0001543,0.20526,0.20526,0.20526,0.20526
N1.HOG0001547,0.29495,0.29495,0.29495,0.29495
N1.HOG0001575,0.40525,0.40525,0.40525,0.40525
N1.HOG0001607,0.40272,0.40272,0.40272,0.40272
N1.HOG0001617,0.28569,0.28569,0.28569,0.28569
N1.HOG0001700,0.32069,0.32069,0.32069,0.32069
N1.HOG0001704,0.32937,0.32937,0.32937,0.32937
N1.HOG0001705,0.29878,0.29878,0.29878,0.29878
N1.HOG0001708,0.37913,0.37913,0.37913,0.37913
N1.HOG0001709,0.36189,0.36189,0.36189,0.36189
N1.HOG0001710,0.30875,0.30875,0.30875,0.30875
N1.HOG0001712,0.2274,0.2274,0.2274,0.2274
N1.HOG0001720,0.36588,0.36588,0.36588,0.36588
N1.HOG0001745,0.44395,0.44395,0.44395,0.44395
N1.HOG0001813,0.34955,0.34955,0.34955,0.34955
N1.HOG0001856,0.3192,0.3192,0.3192,0.3192
N1.HOG0001871,0.25983,0.25983,0.25983,0.25983
N1.HOG0001916,0.16855,0.16855,0.16855,0.16855
N1.HOG0001928,0.12977,0.12977,0.12977,0.12977
N1.HOG0001978,0.1781,0.1781,0.1781,0.1781
N1.HOG0001985,0.03308,0.03308,0.03308,0.03308
N1.HOG0002032,0.36144,0.36144,0.36144,0.36144
N1.HOG0002038,0.40635,0.40635,0.40635,0.40635
N1.HOG0002046,0.28282,0.28282,0.28282,0.28282
N1.HOG0002047,0.27425,0.27425,0.27425,0.27425
N1.HOG0002051,0.2198,0.2198,0.2198,0.2198
N1.HOG0002112,0.20248,0.20248,0.20248,0.20248
N1.HOG0002117,0.28176,0.28176,0.28176,0.28176
N1.HOG0002141,0.24993,0.24993,0.24993,0.24993
N1.HOG0002158,0.38266,0.38266,0.38266,0.38266
N1.HOG0002221,0.22284,0.22284,0.22284,0.22284
N1.HOG0002222,0.27707,0.27707,0.27707,0.27707
N1.HOG0002243,0.22121,0.22121,0.22121,0.22121
N1.HOG0002254,0.1683,0.1683,0.1683,0.1683
N1.HOG0002275,0.39449,0.39449,0.39449,0.39449
N1.HOG0002282,0.08544,0.08544,0.08544,0.08544
N1.HOG0002283,0.06812,0.06812,0.06812,0.06812
N1.HOG0002321,0.19969,0.19969,0.19969,0.19969
N1.HOG0002362,0.29496,0.29496,0.29496,0.29496
N1.HOG0002368,0.36268,0.36268,0.36268,0.36268
N1.HOG0002379,0.40245,0.40245,0.40245,0.40245
N1.HOG0002407,0.2506,0.2506,0.2506,0.2506
N1.HOG0002414,0.09573,0.09573,0.09573,0.09573
N1.HOG0002427,0.30178,0.30178,0.30178,0.30178
N1.HOG0002439,0.25546,0.25546,0.25546,0.25546
N1.HOG0002473,0.19846,0.19846,0.19846,0.19846
N1.HOG0002474,0.2825,0.2825,0.2825,0.2825
N1.HOG0002480,0.35399,0.35399,0.35399,0.35399
N1.HOG0002485,0.28926,0.28926,0.28926,0.28926
N1.HOG0002499,0.18785,0.18785,0.18785,0.18785
N1.HOG0002508,0.2652,0.2652,0.2652,0.2652
N1.HOG0002514,0.21636,0.21636,0.21636,0.21636
N1.HOG0002517,0.19034,0.19034,0.19034,0.19034
N1.HOG0002522,0.21719,0.21719,0.21719,0.21719
N1.HOG0002539,0.21272,0.21272,0.21272,0.21272
N1.HOG0002543,0.1109,0.1109,0.1109,0.1109
N1.HOG0002547,0.12054,0.12054,0.12054,0.12054
N1.HOG0002551,0.25684,0.25684,0.25684,0.25684
N1.HOG0002571,0.1674,0.1674,0.1674,0.1674
N1.HOG0002575,0.24933,0.24933,0.24933,0.24933
N1.HOG0002580,0.34714,0.34714,0.34714,0.34714
N1.HOG0002582,0.26564,0.26564,0.26564,0.26564
N1.HOG0002613,0.27274,0.27274,0.27274,0.27274
N1.HOG0002669,0.10685,0.10685,0.10685,0.10685
N1.HOG0002692,0.22443,0.22443,0.22443,0.22443
N1.HOG0002697,0.18801,0.18801,0.18801,0.18801
N1.HOG0002704,0.24831,0.24831,0.24831,0.24831
N1.HOG0002706,0.22214,0.22214,0.22214,0.22214
N1.HOG0002710,0.12793,0.12793,0.12793,0.12793
N1.HOG0002760,0.29438,0.29438,0.29438,0.29438
N1.HOG0002853,0.05541,0.05541,0.05541,0.05541
N1.HOG0002854,0.10042,0.10042,0.10042,0.10042
N1.HOG0002874,0.5349,0.5349,0.5349,0.5349
N1.HOG0002899,0.24828,0.24828,0.24828,0.24828
N1.HOG0002901,0.14668,0.14668,0.14668,0.14668
N1.HOG0002928,0.1923,0.1923,0.1923,0.1923
N1.HOG0002941,0.17299,0.17299,0.17299,0.17299
N1.HOG0002972,0.08939,0.08939,0.08939,0.08939
N1.HOG0002973,0.20616,0.20616,0.20616,0.20616
N1.HOG0002997,0.21884,0.21884,0.21884,0.21884
N1.HOG0002998,0.18139,0.18139,0.18139,0.18139
N1.HOG0003007,0.21838,0.21838,0.21838,0.21838
N1.HOG0003011,0.15303,0.15303,0.15303,0.15303
N1.HOG0003020,0.20111,0.20111,0.20111,0.20111
N1.HOG0003049,0.23514,0.23514,0.23514,0.23514
N1.HOG0003058,0.26981,0.26981,0.26981,0.26981
N1.HOG0003070,0.09118,0.09118,0.09118,0.09118
N1.HOG0003134,0.2274,0.2274,0.2274,0.2274
N1.HOG0003135,0.27133,0.27133,0.27133,0.27133
N1.HOG0003141,0.25897,0.25897,0.25897,0.25897
N1.HOG0003180,0.26447,0.26447,0.26447,0.26447
N1.HOG0003233,0.33671,0.33671,0.33671,0.33671
N1.HOG0003303,0.17297,0.17297,0.17297,0.17297
N1.HOG0003318,0.15222,0.15222,0.15222,0.15222
N1.HOG0003325,0.2878,0.2878,0.2878,0.2878
N1.HOG0003391,0.27407,0.27407,0.27407,0.27407
N1.HOG0003420,0.13337,0.13337,0.13337,0.13337
N1.HOG0003438,0.25964,0.25964,0.25964,0.25964
N1.HOG0003439,0.30648,0.30648,0.30648,0.30648
N1.HOG0003478,0.10634,0.10634,0.10634,0.10634
N1.HOG0003494,0.18804,0.18804,0.18804,0.18804
N1.HOG0003504,0.27205,0.27205,0.27205,0.27205
N1.HOG0003505,0.21421,0.21421,0.21421,0.21421
N1.HOG0003508,0.28019,0.28019,0.28019,0.28019
N1.HOG0003522,0.17076,0.17076,0.17076,0.17076
N1.HOG0003530,0.27024,0.27024,0.27024,0.27024
N1.HOG0003543,0.25977,0.25977,0.25977,0.25977
N1.HOG0003583,0.24009,0.24009,0.24009,0.24009
N1.HOG0003587,0.4821,0.4821,0.4821,0.4821
N1.HOG0003621,0.35144,0.35144,0.35144,0.35144
N1.HOG0003630,0.34601,0.34601,0.34601,0.34601
N1.HOG0003655,0.21919,0.21919,0.21919,0.21919
N1.HOG0003659,0.37624,0.37624,0.37624,0.37624
N1.HOG0003661,0.21443,0.21443,0.21443,0.21443
N1.HOG0003668,0.09495,0.09495,0.09495,0.09495
N1.HOG0003748,0.25116,0.25116,0.25116,0.25116
N1.HOG0003850,0.15232,0.15232,0.15232,0.15232
N1.HOG0003879,0.31111,0.31111,0.31111,0.31111
N1.HOG0003950,0.30529,0.30529,0.30529,0.30529
N1.HOG0003953,0.21141,0.21141,0.21141,0.21141
N1.HOG0004054,0.43547,0.43547,0.43547,0.43547
N1.HOG0004057,0.42658,0.42658,0.42658,0.42658
N1.HOG0004182,0.27804,0.27804,0.27804,0.27804
N1.HOG0004183,0.26455,0.26455,0.26455,0.26455
N1.HOG0004262,0.1728,0.1728,0.1728,0.1728
N1.HOG0004338,0.40541,0.40541,0.40541,0.40541
N1.HOG0004356,0.18701,0.18701,0.18701,0.18701
N1.HOG0004360,0.22809,0.22809,0.22809,0.22809
N1.HOG0004377,0.06127,0.06127,0.06127,0.06127
N1.HOG0004378,0.17262,0.17262,0.17262,0.17262
N1.HOG0004387,0.31963,0.31963,0.31963,0.31963
N1.HOG0004388,0.21308,0.21308,0.21308,0.21308
N1.HOG0004389,0.18299,0.18299,0.18299,0.18299
N1.HOG0004390,0.2775,0.2775,0.2775,0.2775
N1.HOG0004391,0.19742,0.19742,0.19742,0.19742
N1.HOG0004393,0.23124,0.23124,0.23124,0.23124
N1.HOG0004394,0.12416,0.12416,0.12416,0.12416
N1.HOG0004396,0.26097,0.26097,0.26097,0.26097
N1.HOG0004397,0.27357,0.27357,0.27357,0.27357
N1.HOG0004399,0.20314,0.20314,0.20314,0.20314
N1.HOG0004408,0.40179,0.40179,0.40179,0.40179
N1.HOG0004412,0.46364,0.46364,0.46364,0.46364
N1.HOG0004423,0.29902,0.29902,0.29902,0.29902
N1.HOG0004434,0.34333,0.34333,0.34333,0.34333
N1.HOG0004436,0.29082,0.29082,0.29082,0.29082
N1.HOG0004456,0.14887,0.14887,0.14887,0.14887
N1.HOG0004504,0.28102,0.28102,0.28102,0.28102
N1.HOG0004518,0.27424,0.27424,0.27424,0.27424
N1.HOG0004549,0.19084,0.19084,0.19084,0.19084
N1.HOG0004550,0.21242,0.21242,0.21242,0.21242
N1.HOG0004567,0.17023,0.17023,0.17023,0.17023
N1.HOG0004598,0.33711,0.33711,0.33711,0.33711
N1.HOG0004604,0.45429,0.45429,0.45429,0.45429
N1.HOG0004624,0.34353,0.34353,0.34353,0.34353
N1.HOG0004625,0.2948,0.2948,0.2948,0.2948
N1.HOG0004627,0.3615,0.3615,0.3615,0.3615
N1.HOG0004634,0.27909,0.27909,0.27909,0.27909
N1.HOG0004636,0.28584,0.28584,0.28584,0.28584
N1.HOG0004641,0.29833,0.29833,0.29833,0.29833
N1.HOG0004684,0.28396,0.28396,0.28396,0.28396
N1.HOG0004688,0.20258,0.20258,0.20258,0.20258
N1.HOG0004691,0.09722,0.09722,0.09722,0.09722
N1.HOG0004698,0.15559,0.15559,0.15559,0.15559
N1.HOG0004700,0.12397,0.12397,0.12397,0.12397
N1.HOG0004709,0.23782,0.23782,0.23782,0.23782
N1.HOG0004743,0.18196,0.18196,0.18196,0.18196
N1.HOG0004768,0.09949,0.09949,0.09949,0.09949
N1.HOG0004790,0.10173,0.10173,0.10173,0.10173
N1.HOG0004807,0.36122,0.36122,0.36122,0.36122
N1.HOG0004809,0.3973,0.3973,0.3973,0.3973
N1.HOG0004820,0.23766,0.23766,0.23766,0.23766
N1.HOG0004837,0.16905,0.16905,0.16905,0.16905
N1.HOG0004846,0.34906,0.34906,0.34906,0.34906
N1.HOG0004875,0.0995,0.0995,0.0995,0.0995
N1.HOG0004909,0.29231,0.29231,0.29231,0.29231
N1.HOG0004911,0.46076,0.46076,0.46076,0.46076
N1.HOG0004912,0.42567,0.42567,0.42567,0.42567
N1.HOG0004913,0.22971,0.22971,0.22971,0.22971
N1.HOG0004934,0.15041,0.15041,0.15041,0.15041
N1.HOG0004935,0.34651,0.34651,0.34651,0.34651
N1.HOG0004944,0.38441,0.38441,0.38441,0.38441
N1.HOG0004948,0.14754,0.14754,0.14754,0.14754
N1.HOG0004960,0.20038,0.20038,0.20038,0.20038
N1.HOG0004961,0.16374,0.16374,0.16374,0.16374
N1.HOG0005016,0.32371,0.32371,0.32371,0.32371
N1.HOG0005032,0.16545,0.16545,0.16545,0.16545
N1.HOG0005072,0.17978,0.17978,0.17978,0.17978
N1.HOG0005073,0.12726,0.12726,0.12726,0.12726
N1.HOG0005113,0.30787,0.30787,0.30787,0.30787
N1.HOG0005115,0.36715,0.36715,0.36715,0.36715
N1.HOG0005118,0.34697,0.34697,0.34697,0.34697
N1.HOG0005121,0.27683,0.27683,0.27683,0.27683
N1.HOG0005122,0.35742,0.35742,0.35742,0.35742
N1.HOG0005145,0.28965,0.28965,0.28965,0.28965
N1.HOG0005148,0.25724,0.25724,0.25724,0.25724
N1.HOG0005149,0.29986,0.29986,0.29986,0.29986
N1.HOG0005162,0.4176,0.4176,0.4176,0.4176
N1.HOG0005196,0.14691,0.14691,0.14691,0.14691
N1.HOG0005209,0.32354,0.32354,0.32354,0.32354
N1.HOG0005210,0.25096,0.25096,0.25096,0.25096
N1.HOG0005211,0.26492,0.26492,0.26492,0.26492
N1.HOG0005221,0.36197,0.36197,0.36197,0.36197
N1.HOG0005238,0.32937,0.32937,0.32937,0.32937
N1.HOG0005240,0.26805,0.26805,0.26805,0.26805
N1.HOG0005241,0.19848,0.19848,0.19848,0.19848
N1.HOG0005245,0.24439,0.24439,0.24439,0.24439
N1.HOG0005302,0.20296,0.20296,0.20296,0.20296
N1.HOG0005371,0.27184,0.27184,0.27184,0.27184
N1.HOG0005413,0.20246,0.20246,0.20246,0.20246
N1.HOG0005427,0.23872,0.23872,0.23872,0.23872
N1.HOG0005441,0.20197,0.20197,0.20197,0.20197
N1.HOG0005444,0.37591,0.37591,0.37591,0.37591
N1.HOG0005456,0.28826,0.28826,0.28826,0.28826
N1.HOG0005464,0.28355,0.28355,0.28355,0.28355
N1.HOG0005479,0.41391,0.41391,0.41391,0.41391
N1.HOG0005481,0.45284,0.45284,0.45284,0.45284
N1.HOG0005484,0.334,0.334,0.334,0.334
N1.HOG0005509,0.31103,0.31103,0.31103,0.31103
N1.HOG0005511,0.29876,0.29876,0.29876,0.29876
N1.HOG0005514,0.35552,0.35552,0.35552,0.35552
N1.HOG0005515,0.32363,0.32363,0.32363,0.32363
N1.HOG0005517,0.31762,0.31762,0.31762,0.31762
N1.HOG0005518,0.07236,0.07236,0.07236,0.07236
N1.HOG0005528,0.26694,0.26694,0.26694,0.26694
N1.HOG0005529,0.23839,0.23839,0.23839,0.23839
N1.HOG0005533,0.20215,0.20215,0.20215,0.20215
N1.HOG0005538,0.30683,0.30683,0.30683,0.30683
N1.HOG0005539,0.33741,0.33741,0.33741,0.33741
N1.HOG0005545,0.19235,0.19235,0.19235,0.19235
N1.HOG0005548,0.21382,0.21382,0.21382,0.21382
N1.HOG0005567,0.20552,0.20552,0.20552,0.20552
N1.HOG0005572,0.12727,0.12727,0.12727,0.12727
N1.HOG0005573,0.17539,0.17539,0.17539,0.17539
N1.HOG0005684,0.12524,0.12524,0.12524,0.12524
N1.HOG0005689,0.13692,0.13692,0.13692,0.13692
N1.HOG0005752,0.30225,0.30225,0.30225,0.30225
N1.HOG0005762,0.26634,0.26634,0.26634,0.26634
N1.HOG0005770,0.1344,0.1344,0.1344,0.1344
N1.HOG0005774,0.12029,0.12029,0.12029,0.12029
N1.HOG0005775,0.11189,0.11189,0.11189,0.11189
N1.HOG0005778,0.16182,0.16182,0.16182,0.16182
N1.HOG0005788,0.24382,0.24382,0.24382,0.24382
N1.HOG0005818,0.13369,0.13369,0.13369,0.13369
N1.HOG0005863,0.16387,0.16387,0.16387,0.16387
N1.HOG0005880,0.27115,0.27115,0.27115,0.27115
N1.HOG0005888,0.43877,0.43877,0.43877,0.43877
N1.HOG0005891,0.29318,0.29318,0.29318,0.29318
N1.HOG0005896,0.29825,0.29825,0.29825,0.29825
N1.HOG0005926,0.08839,0.08839,0.08839,0.08839
N1.HOG0005928,0.35046,0.35046,0.35046,0.35046
N1.HOG0005932,0.09919,0.09919,0.09919,0.09919
N1.HOG0005933,0.18343,0.18343,0.18343,0.18343
N1.HOG0005936,0.15468,0.15468,0.15468,0.15468
N1.HOG0005942,0.22911,0.22911,0.22911,0.22911
N1.HOG0005948,0.36664,0.36664,0.36664,0.36664
N1.HOG0005957,0.08407,0.08407,0.08407,0.08407
N1.HOG0005982,0.23425,0.23425,0.23425,0.23425
N1.HOG0005985,0.20392,0.20392,0.20392,0.20392
N1.HOG0006016,0.34805,0.34805,0.34805,0.34805
N1.HOG0006026,0.41687,0.41687,0.41687,0.41687
N1.HOG0006030,0.32759,0.32759,0.32759,0.32759
N1.HOG0006038,0.33581,0.33581,0.33581,0.33581
N1.HOG0006050,0.15629,0.15629,0.15629,0.15629
N1.HOG0006052,0.15847,0.15847,0.15847,0.15847
N1.HOG0006065,0.18164,0.18164,0.18164,0.18164
N1.HOG0006067,0.23495,0.23495,0.23495,0.23495
N1.HOG0006097,0.21714,0.21714,0.21714,0.21714
N1.HOG0006108,0.27738,0.27738,0.27738,0.27738
N1.HOG0006121,0.28969,0.28969,0.28969,0.28969
N1.HOG0006125,0.24261,0.24261,0.24261,0.24261
N1.HOG0006131,0.29473,0.29473,0.29473,0.29473
N1.HOG0006141,0.57593,0.57593,0.57593,0.57593
N1.HOG0006159,0.29712,0.29712,0.29712,0.29712
N1.HOG0006214,0.19268,0.19268,0.19268,0.19268
N1.HOG0006249,0.1436,0.1436,0.1436,0.1436
N1.HOG0006251,0.33856,0.33856,0.33856,0.33856
N1.HOG0006257,0.30347,0.30347,0.30347,0.30347
N1.HOG0006262,0.38025,0.38025,0.38025,0.38025
N1.HOG0006277,0.17937,0.17937,0.17937,0.17937
N1.HOG0006289,0.19729,0.19729,0.19729,0.19729
N1.HOG0006292,0.19166,0.19166,0.19166,0.19166
N1.HOG0006340,0.22577,0.22577,0.22577,0.22577
N1.HOG0006347,0.29188,0.29188,0.29188,0.29188
N1.HOG0006368,0.31041,0.31041,0.31041,0.31041
N1.HOG0006433,0.17251,0.17251,0.17251,0.17251
N1.HOG0006434,0.2527,0.2527,0.2527,0.2527
N1.HOG0006476,0.43488,0.43488,0.43488,0.43488
N1.HOG0006479,0.46344,0.46344,0.46344,0.46344
N1.HOG0006480,0.61426,0.61426,0.61426,0.61426
N1.HOG0006489,0.13544,0.13544,0.13544,0.13544
N1.HOG0006494,0.06133,0.06133,0.06133,0.06133
N1.HOG0006535,0.32665,0.32665,0.32665,0.32665
N1.HOG0006548,0.24924,0.24924,0.24924,0.24924
N1.HOG0006567,0.2098,0.2098,0.2098,0.2098
N1.HOG0006568,0.37773,0.37773,0.37773,0.37773
N1.HOG0006569,0.37998,0.37998,0.37998,0.37998
N1.HOG0006574,0.33465,0.33465,0.33465,0.33465
N1.HOG0006593,0.12431,0.12431,0.12431,0.12431
N1.HOG0006594,0.17507,0.17507,0.17507,0.17507
N1.HOG0006596,0.14179,0.14179,0.14179,0.14179
N1.HOG0006600,0.16836,0.16836,0.16836,0.16836
N1.HOG0006608,0.37369,0.37369,0.37369,0.37369
N1.HOG0006617,0.23329,0.23329,0.23329,0.23329
N1.HOG0006658,0.2697,0.2697,0.2697,0.2697
N1.HOG0006678,0.23321,0.23321,0.23321,0.23321
N1.HOG0006697,0.23374,0.23374,0.23374,0.23374
N1.HOG0006703,0.08461,0.08461,0.08461,0.08461
N1.HOG0006704,0.37929,0.37929,0.37929,0.37929
N1.HOG0006715,0.2279,0.2279,0.2279,0.2279
N1.HOG0006722,0.2113,0.2113,0.2113,0.2113
N1.HOG0006728,0.12291,0.12291,0.12291,0.12291
N1.HOG0006731,0.35157,0.35157,0.35157,0.35157
N1.HOG0006735,0.33592,0.33592,0.33592,0.33592
N1.HOG0006744,0.18841,0.18841,0.18841,0.18841
N1.HOG0006753,0.18914,0.18914,0.18914,0.18914
N1.HOG0006762,0.40991,0.40991,0.40991,0.40991
N1.HOG0006803,0.18933,0.18933,0.18933,0.18933
N1.HOG0006821,0.28927,0.28927,0.28927,0.28927
N1.HOG0006835,0.40051,0.40051,0.40051,0.40051
N1.HOG0006842,0.42674,0.42674,0.42674,0.42674
N1.HOG0006844,0.45655,0.45655,0.45655,0.45655
N1.HOG0006851,0.25362,0.25362,0.25362,0.25362
N1.HOG0006862,0.23084,0.23084,0.23084,0.23084
N1.HOG0006869,0.19474,0.19474,0.19474,0.19474
N1.HOG0006870,0.1132,0.1132,0.1132,0.1132
N1.HOG0006878,0.13661,0.13661,0.13661,0.13661
N1.HOG0006928,0.12694,0.12694,0.12694,0.12694
N1.HOG0006930,0.09952,0.09952,0.09952,0.09952
N1.HOG0006935,0.14352,0.14352,0.14352,0.14352
N1.HOG0006936,0.10044,0.10044,0.10044,0.10044
N1.HOG0006937,0.14398,0.14398,0.14398,0.14398
N1.HOG0006941,0.46525,0.46525,0.46525,0.46525
N1.HOG0006946,0.29078,0.29078,0.29078,0.29078
N1.HOG0006952,0.37489,0.37489,0.37489,0.37489
N1.HOG0006956,0.19086,0.19086,0.19086,0.19086
N1.HOG0006963,0.29782,0.29782,0.29782,0.29782
N1.HOG0006964,0.30714,0.30714,0.30714,0.30714
N1.HOG0006995,0.29621,0.29621,0.29621,0.29621
N1.HOG0007002,0.24803,0.24803,0.24803,0.24803
N1.HOG0007006,0.25572,0.25572,0.25572,0.25572
N1.HOG0007007,0.31186,0.31186,0.31186,0.31186
N1.HOG0007035,0.21354,0.21354,0.21354,0.21354
N1.HOG0007043,0.18481,0.18481,0.18481,0.18481
N1.HOG0007044,0.24402,0.24402,0.24402,0.24402
N1.HOG0007060,0.38137,0.38137,0.38137,0.38137
N1.HOG0007066,0.20474,0.20474,0.20474,0.20474
N1.HOG0007070,0.3311,0.3311,0.3311,0.3311
N1.HOG0007078,0.33333,0.33333,0.33333,0.33333
N1.HOG0007105,0.25981,0.25981,0.25981,0.25981
N1.HOG0007106,0.36999,0.36999,0.36999,0.36999
N1.HOG0007146,0.09801,0.09801,0.09801,0.09801
N1.HOG0007151,0.10598,0.10598,0.10598,0.10598
N1.HOG0007202,0.26432,0.26432,0.26432,0.26432
N1.HOG0007203,0.32683,0.32683,0.32683,0.32683
N1.HOG0007232,0.26592,0.26592,0.26592,0.26592
N1.HOG0007233,0.2782,0.2782,0.2782,0.2782
N1.HOG0007235,0.24332,0.24332,0.24332,0.24332
N1.HOG0007242,0.32299,0.32299,0.32299,0.32299
N1.HOG0007264,0.26261,0.26261,0.26261,0.26261
N1.HOG0007311,0.2973,0.2973,0.2973,0.2973
N1.HOG0007314,0.26567,0.26567,0.26567,0.26567
N1.HOG0007319,0.1689,0.1689,0.1689,0.1689
N1.HOG0007322,0.21852,0.21852,0.21852,0.21852
N1.HOG0007335,0.35868,0.35868,0.35868,0.35868
N1.HOG0007336,0.23339,0.23339,0.23339,0.23339
N1.HOG0007339,0.38137,0.38137,0.38137,0.38137
N1.HOG0007345,0.19839,0.19839,0.19839,0.19839
N1.HOG0007369,0.31943,0.31943,0.31943,0.31943
N1.HOG0007370,0.24241,0.24241,0.24241,0.24241
N1.HOG0007401,0.37711,0.37711,0.37711,0.37711
N1.HOG0007408,0.36405,0.36405,0.36405,0.36405
N1.HOG0007445,0.23537,0.23537,0.23537,0.23537
N1.HOG0007460,0.27796,0.27796,0.27796,0.27796
N1.HOG0007461,0.35596,0.35596,0.35596,0.35596
N1.HOG0007465,0.36379,0.36379,0.36379,0.36379
N1.HOG0007477,0.43591,0.43591,0.43591,0.43591
N1.HOG0007478,0.39274,0.39274,0.39274,0.39274
N1.HOG0007480,0.46346,0.46346,0.46346,0.46346
N1.HOG0007504,0.16464,0.16464,0.16464,0.16464
N1.HOG0007535,0.31283,0.31283,0.31283,0.31283
N1.HOG0007541,0.21153,0.21153,0.21153,0.21153
N1.HOG0007568,0.23845,0.23845,0.23845,0.23845
N1.HOG0007608,0.28867,0.28867,0.28867,0.28867
N1.HOG0007621,0.23607,0.23607,0.23607,0.23607
N1.HOG0007632,0.28817,0.28817,0.28817,0.28817
N1.HOG0007642,0.18879,0.18879,0.18879,0.18879
N1.HOG0007652,0.15477,0.15477,0.15477,0.15477
N1.HOG0007657,0.22241,0.22241,0.22241,0.22241
N1.HOG0007667,0.14496,0.14496,0.14496,0.14496
N1.HOG0007687,0.2239,0.2239,0.2239,0.2239
N1.HOG0007690,0.46087,0.46087,0.46087,0.46087
N1.HOG0007693,0.34025,0.34025,0.34025,0.34025
N1.HOG0007697,0.50433,0.50433,0.50433,0.50433
N1.HOG0007700,0.37248,0.37248,0.37248,0.37248
